mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006602001190185547,0.0007952292273748408,0.002998208999633789,0.0006321836585680718,entropy,4,10,30,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.4375,0.65625,0.75,0.5625,0.5,0.58125,0.11110243021644486,27
0.007500314712524414,0.0008991408735967992,0.002899789810180664,0.0004913765293076472,entropy,5,10,30,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.4375,0.65625,0.75,0.5625,0.5,0.58125,0.11110243021644486,27
0.008994865417480468,0.005510564836961172,0.007795476913452148,0.010101634959745514,gini,5,15,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 50}",0.5,0.625,0.65625,0.625,0.5,0.58125,0.06731456008918131,27
0.009604978561401366,0.005242327153046004,0.002798318862915039,0.0007478186087205043,entropy,3,10,20,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.5,0.65625,0.6875,0.5625,0.46875,0.575,0.0852386356061616,35
0.00839529037475586,0.0038237845205434267,0.0027982711791992186,0.0003996851904469167,entropy,3,10,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.5,0.65625,0.6875,0.5625,0.46875,0.575,0.0852386356061616,35
0.006195211410522461,0.00039737237095580514,0.0025011539459228516,0.0004470022087906341,gini,5,10,40,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.46875,0.65625,0.65625,0.59375,0.5,0.575,0.07806247497997998,35
0.0062980175018310545,0.0005974251137819217,0.002598428726196289,0.0004897067609269814,gini,5,15,40,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 40}",0.5,0.625,0.65625,0.59375,0.5,0.575,0.06434768838116875,35
0.011998271942138672,0.011510256851992308,0.002398681640625,0.0004898237473648511,gini,6,15,40,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 40}",0.5,0.625,0.65625,0.59375,0.5,0.575,0.06434768838116875,35
0.01039423942565918,0.0046277541821718275,0.002598428726196289,0.0004897067841422694,gini,6,10,40,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.46875,0.65625,0.65625,0.59375,0.5,0.575,0.07806247497997998,35
0.00659637451171875,0.0004896288627950879,0.009194469451904297,0.01239271165133009,gini,6,10,50,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.4375,0.65625,0.65625,0.625,0.5,0.575,0.08970437559004577,35
0.00639638900756836,0.0004894147648345863,0.002598476409912109,0.0004900376712804196,gini,4,10,40,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.46875,0.65625,0.65625,0.59375,0.5,0.575,0.07806247497997998,35
0.006604385375976562,0.0004795126812269014,0.0027985572814941406,0.00039947042533511356,gini,4,10,50,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.4375,0.65625,0.65625,0.625,0.5,0.575,0.08970437559004577,35
0.006396579742431641,0.0004897458260564344,0.0025981903076171876,0.0004894148112928627,gini,4,15,10,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.5,0.625,0.65625,0.59375,0.5,0.575,0.06434768838116875,35
0.007196044921875,0.001469146084026101,0.0023986339569091798,0.0004895704682168957,gini,4,15,20,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.5,0.625,0.65625,0.59375,0.5,0.575,0.06434768838116875,35
0.009802293777465821,0.006627770983571535,0.004597663879394531,0.002331050497726067,gini,4,15,30,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.5,0.625,0.65625,0.59375,0.5,0.575,0.06434768838116875,35
0.006196498870849609,0.0003999471771024199,0.005196809768676758,0.004912149581549256,gini,4,15,40,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 15, 'min_samples_split': 40}",0.5,0.625,0.65625,0.59375,0.5,0.575,0.06434768838116875,35
0.011678552627563477,0.009387630559105546,0.0023186206817626953,0.0004115277891171273,entropy,2,10,30,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.5,0.625,0.6875,0.5625,0.5,0.575,0.07288689868556626,35
0.008201265335083007,0.0020350800930107123,0.0029987335205078126,0.0006321843419292185,entropy,2,10,20,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.5,0.625,0.6875,0.5625,0.5,0.575,0.07288689868556626,35
0.006601810455322266,0.00048285303857448843,0.002598428726196289,0.0004896095953046904,entropy,2,10,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.5,0.625,0.6875,0.5625,0.5,0.575,0.07288689868556626,35
0.005996513366699219,1.784161275279017e-07,0.0029983997344970705,3.814697265625e-07,gini,5,10,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.4375,0.65625,0.65625,0.625,0.5,0.575,0.08970437559004577,35
0.00799555778503418,0.002528583336203915,0.003997611999511719,0.001998877550212551,entropy,6,15,30,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.53125,0.625,0.6875,0.53125,0.5,0.575,0.0701560760020114,35
0.007795572280883789,0.0026365946500711574,0.005196857452392578,0.004442675214214252,entropy,6,15,20,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.53125,0.625,0.6875,0.53125,0.5,0.575,0.0701560760020114,35
